2.3764963150024414:	waypoints;	goal_x,	-71.42081676307744|	goal_y,	42.42730702317262
2.3773651123046875:	imu;	yaw,	-4.898921012878418
2.3818111419677734:	imu;	yaw,	-4.902193546295166
2.3859236240386963:	imu;	yaw,	-4.906557083129883
2.4084041118621826:	controller;	speed_command,	0.6|	angle_command,	-3.04985995191
2.4084718227386475:	waypoints;	goal_x,	-71.42081676307744|	goal_y,	42.42730702317262
2.4118988513946533:	imu;	yaw,	-4.909829139709473
2.4162893295288086:	imu;	yaw,	-4.913101673126221
2.4188289642333984:	servo;	-13
2.440598964691162:	controller;	speed_command,	0.6|	angle_command,	-3.0572567636
2.4406659603118896:	waypoints;	goal_x,	-71.42081676307744|	goal_y,	42.42730702317262
2.442859411239624:	imu;	yaw,	-4.915283679962158
2.4474382400512695:	imu;	yaw,	-4.9174652099609375
2.4491846561431885:	servo;	-12
2.4565346240997314:	servo;	-11
2.4763596057891846:	imu;	yaw,	-4.9207377433776855
2.4782378673553467:	controller;	speed_command,	0.6|	angle_command,	-3.06413228262
2.478297710418701:	waypoints;	goal_x,	-71.42081676307744|	goal_y,	42.42730702317262
2.482097864151001:	imu;	yaw,	-4.925101280212402
2.4863269329071045:	state;	y m,	4.88944520992|	vx,	0.621558301339|	angle,	0.257772973977|	x m,	-0.0629398550735|	ang v,	-1.18018274757|	y,	42.42731178798514|	vy,	0.479378010405|	x,	-71.42080297087271
2.4866745471954346:	encoder;	counts,	11
2.4951908588409424:	servo;	-10
2.5108327865600586:	controller;	speed_command,	0.6|	angle_command,	-3.07189299985
2.51090145111084:	waypoints;	goal_x,	-71.42081676307744|	goal_y,	42.42730702317262
2.512691020965576:	imu;	yaw,	-4.936009407043457
2.517033338546753:	imu;	yaw,	-4.939281940460205
2.5212159156799316:	imu;	yaw,	-4.942554473876953
2.54445743560791:	controller;	speed_command,	0.6|	angle_command,	-3.06789474546
2.5445213317871094:	waypoints;	goal_x,	-71.42081097599427|	goal_y,	42.42730613248792
2.547853469848633:	imu;	yaw,	-4.945827007293701
2.552608013153076:	imu;	yaw,	-4.95019006729126
2.566593885421753:	servo;	0
2.5697803497314453:	imu;	yaw,	-4.954553604125977
2.5843381881713867:	controller;	speed_command,	0.6|	angle_command,	-2.77559093242
2.5844027996063232:	waypoints;	goal_x,	-71.42080597802034|	goal_y,	42.42730407546098
